title,published_date,duration,view_count,like_count,favorite_count,comment_count,year,month,day
PhD student view on stereotypes about Blacks in Malaysia?,2025-04-12 10:00:38+00:00,1900-01-01 00:10:01,180,12,0,2,2025,4,12
Top 5 Differences Sudanese Have with Malaysians?,2025-03-19 08:15:03+00:00,1900-01-01 00:17:42,356,20,0,3,2025,3,19
Biggest Misconceptions About Nigerians in Malaysia?,2025-02-19 08:00:49+00:00,1900-01-01 00:41:14,810,27,0,3,2025,2,19
The Biggest Misconceptions About Chinese Malaysians – Fact vs Fiction!,2025-01-30 00:00:18+00:00,1900-01-01 00:09:03,6381,88,0,89,2025,1,30
Biggest Challenges Foreigners Face in Rural Malaysia?,2025-01-01 10:00:45+00:00,1900-01-01 00:24:35,2849,41,0,33,2025,1,1
Malaysia 2030 | What Locals Think About the Future?,2024-12-04 10:00:18+00:00,1900-01-01 00:15:35,4510,59,0,57,2024,12,4
5 Facts About Malaysian Indians You Must Know,2024-11-13 10:00:39+00:00,1900-01-01 00:12:24,7685,92,0,125,2024,11,13
What Do Malays Really Think About Diversity In Malaysia?,2024-10-23 10:00:45+00:00,1900-01-01 00:20:42,7866,109,0,215,2024,10,23
Love it or Hate it? Watch This Before Move To Malaysia!,2024-10-09 10:00:49+00:00,1900-01-01 00:20:31,15126,233,0,42,2024,10,9
What Anime Is Overrated In Malaysia ?,2024-06-12 10:00:41+00:00,1900-01-01 00:03:03,254,12,0,0,2024,6,12
Do Malaysians Like Foreigners To Be In Malaysia ?,2024-05-29 10:00:23+00:00,1900-01-01 00:08:48,349,15,0,9,2024,5,29
How Does Malaysia Change You As a Person?,2024-05-15 10:00:29+00:00,1900-01-01 00:07:08,5348,123,0,29,2024,5,15
What do Malaysians hate about Malaysia?,2024-05-01 10:00:00+00:00,1900-01-01 00:07:43,2562,23,0,43,2024,5,1
What's like being Asian in Malaysia?,2024-04-17 10:00:17+00:00,1900-01-01 00:13:14,5058,71,0,35,2024,4,17
Is Malaysia Really Safe For Foreigners?,2024-04-03 10:00:11+00:00,1900-01-01 00:06:01,5524,43,0,31,2024,4,3
What's like being an Arab in Malaysia?,2024-03-27 10:00:34+00:00,1900-01-01 00:05:31,9350,271,0,43,2024,3,27
What's like being European in Malaysia?,2024-03-13 10:00:00+00:00,1900-01-01 00:07:36,15283,374,0,45,2024,3,13
What's like being Black in Malaysia?,2024-02-28 10:00:27+00:00,1900-01-01 00:14:40,74328,1236,0,629,2024,2,28
#shorts Do Malaysians Like Foreigners👀🤷🏾‍♂️?#malaysia #inmalaysia #foreigners #streetinterview,2024-02-19 18:00:14+00:00,1900-01-01 00:00:53,1206,46,0,4,2024,2,19
How You Wanna Your Future Lover To Be? | Interview Foreigners In Malaysia,2024-02-14 10:00:22+00:00,1900-01-01 00:07:01,624,17,0,7,2024,2,14
#shorts  Asking Malaysians | Thing You Wish Your Country to have #Malaysian Dreams Building Tomorrow,2024-02-12 19:49:03+00:00,1900-01-01 00:01:00,830,39,0,4,2024,2,12
#shorts Your Favorite Country ?  #Malaysia #FavoriteDestinations #AskMalaysian #ExploreTheWorld,2024-02-09 19:00:02+00:00,1900-01-01 00:01:00,1729,67,0,10,2024,2,9
Do Malaysian girls want to Date with Foreign guys?,2024-01-17 14:59:40+00:00,1900-01-01 00:05:26,2516,44,0,21,2024,1,17
Asking African Guys | Would You Marry Malaysian Girl?,2024-01-10 15:01:29+00:00,1900-01-01 00:03:34,737,31,0,1,2024,1,10
Asking Foreign Girls In Malaysia | Rate Your Beauty From Zero To Ten ?,2024-01-03 15:00:36+00:00,1900-01-01 00:04:02,1404,32,0,14,2024,1,3
Asking Malaysian Girls | If You Had Only One Option To Marry Non Malaysian !!?,2023-12-27 15:09:25+00:00,1900-01-01 00:03:56,10414,117,0,48,2023,12,27
2024 PREDICTION IN MALAYSIA | WHAT IS YOUR BIGGEST DREAM FOR THE NEW YEAR?,2023-12-20 15:02:05+00:00,1900-01-01 00:05:11,137,10,0,3,2023,12,20
What Is Your Biggest Regret In 2023💔? | Malaysia Street Interview,2023-12-13 17:02:17+00:00,1900-01-01 00:10:32,1526,57,0,13,2023,12,13
#shorts  Girls 2024 Smile 😀🙂😉 #the_explorer #2024_predictions#New_Year_2024# New_Year,2023-12-09 15:31:19+00:00,1900-01-01 00:00:38,402,50,0,4,2023,12,9
Malaysia Street Interview 2024 predictions | What Is Your Big Dream For The New Year 2024 ?,2023-12-06 15:00:27+00:00,1900-01-01 00:06:51,602,39,0,9,2023,12,6
Happiness With AIU Student in Malaysia,2023-11-29 15:03:37+00:00,1900-01-01 00:01:51,146,9,0,0,2023,11,29
Malaysia Street Interview | The Happiest day of your life,2023-11-22 15:01:10+00:00,1900-01-01 00:03:21,181,19,0,5,2023,11,22
Could you tell us about happiness | stranger in Malaysia,2023-11-15 15:06:17+00:00,1900-01-01 00:03:42,78,7,0,3,2023,11,15
Stranger Opinion in Malaysia About Happiness 👀🥳,2023-11-08 14:58:09+00:00,1900-01-01 00:03:06,65,7,0,1,2023,11,8
motivational speech | asking strangers in Malaysia,2023-11-01 15:00:43+00:00,1900-01-01 00:04:01,210,8,0,0,2023,11,1
how to be happy | asking strangers in Malaysia,2023-10-25 15:02:31+00:00,1900-01-01 00:01:51,52,2,0,1,2023,10,25
Are You A millionaire🤑? Street Interviews with Strangers in Malaysia,2023-10-18 14:58:04+00:00,1900-01-01 00:03:41,239,14,0,0,2023,10,18
Asking Stranger in Malaysia | Do you Think You Are Successful 👀?,2023-10-11 14:58:04+00:00,1900-01-01 00:04:52,88,9,0,0,2023,10,11
Malaysia | Big Success  [ DO THIS 🖐️],2023-10-04 15:11:41+00:00,1900-01-01 00:02:31,51,7,0,3,2023,10,4
#shorts  Guessing If The Viewers Are Happy Or Not👀? #virtualinterviews #the_explorer,2023-10-01 15:09:38+00:00,1900-01-01 00:00:09,479,25,0,3,2023,10,1
#shorts  Do This To Be Happy #street_interview  #virtualinterviews #billionaire #the_explorer,2023-09-29 15:03:54+00:00,1900-01-01 00:00:22,174,10,0,1,2023,9,29
Stranger Opinion in Malaysia | Big Success  [ DO THIS 🖐️] About Happiness 👀🥳,2023-09-27 15:00:17+00:00,1900-01-01 00:02:41,71,9,0,4,2023,9,27
#shorts  success tips #street_interview #virtualinterviews #billionaire #elonmusk  #interviewtime,2023-09-24 15:13:46+00:00,1900-01-01 00:00:37,375,29,0,9,2023,9,24
#shorts  Things I love the most !!  #street_interview #virtualinterviews #interviewtime,2023-09-22 16:00:10+00:00,1900-01-01 00:00:19,209,13,0,0,2023,9,22
What are the things you do love the most 💜? | Asking strangers in Malaysia,2023-09-20 15:00:29+00:00,1900-01-01 00:01:38,113,15,0,1,2023,9,20
#shorts  You are successful or not? #elonmusk #askingstrangres #interview #onlineinterview,2023-09-17 15:03:20+00:00,1900-01-01 00:00:11,1275,37,0,1,2023,9,17
#shorts  My advice to you guys  #virtualinterviews  #street_interview #The_Explorer #interviewtime,2023-09-15 16:00:57+00:00,1900-01-01 00:00:23,162,17,0,2,2023,9,15
Malaysia | Can you guess if the viewers are happy or sad ? | I stopped guessing 😶‍🌫🤐,2023-09-13 15:00:33+00:00,1900-01-01 00:03:41,83,10,0,2,2023,9,13
#shorts  Does happiness needs plans ? #virtualinterviews #interviewtime #elonmusk #askingstrangres,2023-09-10 15:00:16+00:00,1900-01-01 00:00:16,158,10,0,1,2023,9,10
#shorts   you will not become a millionaire 😥🫂  #virtualinterviews #billionaire #street_interview,2023-09-08 15:59:42+00:00,1900-01-01 00:00:14,557,16,0,1,2023,9,8
Malaysia | Are you a millionaire | Unbelievable Answer 🥶🤐,2023-09-06 15:00:08+00:00,1900-01-01 00:03:35,379,13,0,5,2023,9,6
#shorts  #short #shortsviral  Success in my view #virtualinterviews #street_interview #motivation,2023-09-05 15:00:12+00:00,1900-01-01 00:00:21,108,13,0,2,2023,9,5
#shorts  When I become a millionaire #interviewtime #billionaire,2023-09-03 15:07:12+00:00,1900-01-01 00:00:32,264,16,0,1,2023,9,3
#shorts My happiness tips #The_Explorer #interviewtime #street_interview  #virtualinterviews,2023-09-01 16:01:19+00:00,1900-01-01 00:00:39,100,11,0,0,2023,9,1
When you will consider your self as successful | Malaysia,2023-08-30 16:02:23+00:00,1900-01-01 00:09:31,139,9,0,3,2023,8,30
#shorts  The happiest thing in my life #interviewtime  #street_interview #virtualinterviews,2023-08-27 15:15:32+00:00,1900-01-01 00:00:24,237,13,0,1,2023,8,27
#shorts success advice from a young guy #interviewtime #street_interview #motivation #interview,2023-08-25 15:12:44+00:00,1900-01-01 00:00:18,289,14,0,0,2023,8,25
The power of success | Do this | Malaysia,2023-08-23 15:05:41+00:00,1900-01-01 00:09:46,204,16,0,2,2023,8,23
#shorts   How was the happiest day of your life #street_interview #asking_questions #interview #AIU,2023-08-20 15:01:45+00:00,1900-01-01 00:01:00,353,26,0,1,2023,8,20
#shorts  If I were a billionaire #street_interview #success #asking_questions,2023-08-18 15:01:10+00:00,1900-01-01 00:00:57,223,13,0,6,2023,8,18
Asking girls in Malaysia what are the things they do love the most | It change my life,2023-08-16 15:02:28+00:00,1900-01-01 00:08:21,867,27,0,4,2023,8,16
#shorts  Asking students about success plan,2023-08-13 15:00:10+00:00,1900-01-01 00:00:22,235,12,0,0,2023,8,13
#shorts  Tips for achieving happiness,2023-08-11 15:00:18+00:00,1900-01-01 00:00:42,189,23,0,0,2023,8,11
Malaysia | How was the happiest day of your life?,2023-08-09 15:06:27+00:00,1900-01-01 00:06:27,209,16,0,4,2023,8,9
#shorts  Do you want be successful,2023-08-07 15:00:01+00:00,1900-01-01 00:00:15,162,13,0,0,2023,8,7
#shorts  What does success mean to you,2023-08-04 16:00:04+00:00,1900-01-01 00:00:40,269,14,0,3,2023,8,4
Asking strangers in Malaysia | Do you think you are successful ?,2023-08-02 15:00:46+00:00,1900-01-01 00:09:30,195,17,0,20,2023,8,2
#shorts  What are the things you love the most,2023-08-01 14:29:16+00:00,1900-01-01 00:00:23,306,17,0,0,2023,8,1
#shorts Plans for happiness ?,2023-07-30 13:59:25+00:00,1900-01-01 00:00:16,173,15,0,0,2023,7,30
#shorts  Advices for making money,2023-07-28 15:09:27+00:00,1900-01-01 00:00:31,211,18,0,0,2023,7,28
Asking strangers in Malaysia | If you were a millionaire what would you do,2023-07-26 10:09:10+00:00,1900-01-01 00:05:09,201,10,0,4,2023,7,26
#shorts Asking strangers about happiness advice,2023-07-24 09:07:45+00:00,1900-01-01 00:00:22,226,10,0,3,2023,7,24
#shorts A millionaire / Believe on this,2023-07-22 07:48:18+00:00,1900-01-01 00:00:29,1358,37,0,2,2023,7,22
#shorts| How to be like Elon Musk?,2023-07-20 05:04:40+00:00,1900-01-01 00:00:58,560,31,0,0,2023,7,20
Asking strangers in Malaysia | Why you are not a millionaire yet?,2023-07-19 09:03:57+00:00,1900-01-01 00:10:41,766,33,0,20,2023,7,19
#shorts  Why people are not happy #street_interview #The_Explorer #virtualinterviews  #interviewtime,2023-07-18 04:32:07+00:00,1900-01-01 00:00:29,1097,42,0,4,2023,7,18
#shorts | Things I love the most #street_interview #The_Explorer #virtualinterviews #interviewtime,2023-07-17 05:22:47+00:00,1900-01-01 00:00:20,302,16,0,5,2023,7,17
Asking AIU Students in Malaysia What are the things they love the most?,2023-07-12 20:22:48+00:00,1900-01-01 00:08:47,712,32,0,41,2023,7,12
